Date,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,AvgTemp
20201016,0.86,0.75,0.50,0.27,0.75,0.56,0.23,0.27,0.10,0.32,301.71
20201017,0.06,0.24,0.54,0.62,0.54,0.02,0.73,0.43,0.82,0.99,152.72
20201018,0.47,0.62,0.65,0.38,0.67,0.56,0.92,0.66,0.67,0.86,25.30
20201019,0.12,0.64,0.34,0.70,0.82,0.51,0.28,0.13,0.61,0.24,402.16
20201020,0.46,0.95,0.10,0.35,0.23,0.79,0.69,0.43,0.14,0.38,54.42
20201021,0.98,0.78,0.32,0.15,0.33,0.42,0.40,0.42,0.38,0.43,231.23
20201022,0.42,0.85,0.17,0.31,0.71,0.55,0.29,0.54,0.88,0.76,73.37
20201023,0.86,0.49,0.56,0.88,0.39,0.74,0.97,0.52,0.16,0.03,3.81
20201024,0.12,0.19,0.32,0.96,0.03,0.90,0.35,0.37,0.05,0.04,424.21
20201025,0.27,1.00,0.96,0.21,0.43,0.38,0.11,0.76,0.19,0.12,485.11
20201026,0.40,0.13,0.97,0.79,0.91,0.60,0.39,0.07,0.25,0.63,478.46
20201027,0.40,0.47,0.62,0.27,0.41,0.69,0.45,0.04,0.78,0.41,448.61
20201028,0.67,0.07,0.62,0.89,0.33,0.04,0.75,0.42,0.65,0.85,375.73
20201029,0.34,0.94,0.99,0.17,0.99,0.80,0.95,0.90,0.02,0.28,133.23
20201030,0.71,0.96,0.89,0.67,0.64,0.38,0.82,0.28,0.02,0.49,-5.39
20201031,0.64,0.72,0.77,0.08,0.37,0.67,0.93,0.17,0.57,0.71,173.98
20201101,0.40,0.35,0.31,0.97,0.10,0.47,0.48,0.93,0.63,0.55,77.73
20201102,0.43,0.25,0.37,0.70,0.79,0.70,0.72,0.17,0.13,0.32,22.87
20201103,0.61,0.27,0.20,0.84,0.71,0.72,0.31,0.37,0.61,0.15,-20.62
20201104,0.07,0.13,0.49,0.57,0.92,0.19,0.07,0.73,0.24,0.54,349.08
20201105,0.82,0.53,0.99,0.48,0.22,0.66,0.37,0.26,0.34,0.14,-43.71
20201106,0.65,0.14,0.91,0.62,0.11,0.85,0.70,0.23,0.41,0.94,373.82
20201107,0.73,0.32,0.12,0.53,0.72,0.24,0.27,0.40,0.12,0.54,30.82
20201108,0.54,0.63,0.03,0.47,0.20,0.76,0.86,0.79,0.96,0.17,-6.26
20201109,0.11,0.73,0.90,0.76,0.18,0.63,0.79,0.91,0.97,0.72,-0.72
20201110,0.41,0.02,0.54,0.18,0.32,0.96,0.19,0.03,0.45,0.10,319.63
20201111,0.41,0.43,0.20,0.17,0.82,0.26,0.33,0.17,0.26,0.77,84.95
20201112,0.32,0.65,0.67,0.43,0.54,0.15,0.83,0.96,0.96,0.46,181.30
20201113,0.03,0.85,0.64,0.32,0.05,0.31,0.24,0.59,0.82,0.13,256.55
20201114,0.74,0.48,0.12,0.07,0.46,0.26,0.33,0.55,0.72,0.04,423.30
20201115,0.11,0.97,0.26,0.84,0.68,0.76,0.34,0.81,0.46,0.99,349.87
20201116,0.61,0.27,0.06,0.77,0.54,0.73,0.80,0.04,0.41,0.27,98.68
20201117,0.70,0.01,0.21,0.54,0.57,0.67,0.04,0.01,0.78,0.95,22.32
20201118,0.63,0.48,0.13,0.98,0.22,0.22,0.07,0.97,0.52,0.50,-19.54
20201119,0.96,0.26,0.19,0.07,0.85,0.86,0.58,0.83,0.66,0.50,115.88
20201120,0.10,0.82,0.69,0.77,0.56,0.96,0.40,0.75,0.57,0.09,94.16
20201121,0.87,0.23,0.05,0.27,0.71,0.53,0.63,0.16,0.71,0.95,200.88
20201122,0.03,0.31,0.10,0.37,0.98,0.65,0.27,0.48,0.09,0.73,325.80
20201123,0.53,0.79,0.13,0.22,0.43,0.50,0.91,0.94,0.38,0.52,332.59
20201124,0.40,0.72,0.32,0.79,0.88,0.28,0.76,0.93,0.17,0.12,105.94
20201125,0.52,0.56,0.30,0.14,0.01,0.29,0.07,0.01,0.24,0.18,158.96
20201126,0.37,0.70,0.26,0.84,0.03,0.31,0.78,0.75,0.20,0.43,49.63
20201127,0.19,0.42,0.75,0.66,0.59,0.19,0.97,0.01,0.50,0.36,383.70
20201128,0.02,0.01,1.00,0.06,0.31,0.90,0.94,0.98,0.02,0.56,-18.73
20201129,0.52,0.01,0.53,0.81,0.25,0.86,0.74,0.42,0.96,0.08,333.35
20201130,0.84,0.51,0.94,0.63,0.28,0.46,0.12,0.97,0.52,0.04,378.28
20201201,0.37,0.08,0.40,0.90,0.32,0.37,0.58,0.37,0.05,0.51,377.57
20201202,0.22,0.05,0.11,0.75,0.73,0.94,0.28,0.29,0.68,0.03,92.68
20201203,0.08,0.97,0.41,0.56,0.57,0.22,0.97,0.32,0.27,0.06,155.60
20201204,0.09,0.86,0.30,0.84,0.79,0.55,0.72,0.73,0.11,0.38,273.18
20201205,0.22,0.15,0.49,0.28,0.83,0.05,0.61,0.20,0.83,0.06,100.05
20201206,0.10,0.00,0.66,0.55,0.84,0.19,0.70,0.86,0.20,0.39,153.97
20201207,0.27,0.94,0.46,0.29,0.41,0.60,0.44,0.59,0.10,0.24,58.38
20201208,0.07,0.28,0.94,0.97,0.42,0.66,0.37,0.97,0.06,0.19,202.92
20201209,0.07,0.19,0.88,0.23,0.93,0.58,0.94,0.99,0.73,0.40,-25.46
20201210,0.86,0.69,0.70,0.02,0.66,0.87,0.33,0.19,0.66,0.12,389.89
20201211,0.16,0.11,0.49,0.33,0.08,0.99,0.04,0.96,0.01,0.35,-7.67
20201212,0.56,0.26,0.13,0.50,0.54,0.76,0.40,0.05,0.22,0.43,235.36
20201213,0.77,0.98,0.40,0.03,0.36,0.47,0.79,0.03,0.70,0.83,118.75
20201214,0.46,0.64,0.70,0.56,0.99,0.83,0.65,0.94,0.15,0.93,267.65
20201215,0.15,0.52,0.28,0.87,0.01,0.12,0.96,0.96,0.58,0.31,477.69
20201216,0.20,0.40,0.10,0.70,0.61,0.68,0.11,0.15,0.21,0.29,305.06
20201217,0.43,0.77,0.91,0.62,0.72,0.52,0.91,0.44,0.45,0.57,-30.55
20201218,0.53,0.14,0.71,0.96,0.29,0.18,0.37,0.49,0.87,0.14,186.72
20201219,0.35,0.97,0.62,0.96,0.97,0.97,0.47,0.86,0.30,0.35,230.51
20201220,0.78,0.86,0.79,0.82,0.86,0.34,0.43,0.63,0.69,0.05,244.90
20201221,0.75,0.62,0.84,0.61,0.92,0.62,0.12,0.77,0.44,0.38,324.77
20201222,0.93,0.04,0.48,0.49,0.02,0.88,0.25,0.49,0.10,0.11,102.68
20201223,0.03,0.70,0.88,0.01,0.57,0.51,0.74,0.65,0.36,0.56,20.87
20201224,0.90,0.91,0.92,0.61,0.29,0.12,0.02,0.74,0.84,0.64,165.97
20201225,0.39,0.52,0.27,0.99,0.85,0.82,0.13,0.74,0.97,0.99,476.02
20201226,0.88,0.35,0.61,0.82,0.63,0.35,0.03,0.00,0.85,0.20,52.92
20201227,0.69,0.12,0.53,0.34,0.54,0.98,0.86,0.10,0.16,0.21,447.19
20201228,0.99,0.75,0.54,0.15,0.11,0.88,0.62,0.36,0.35,0.95,249.09
20201229,0.76,0.89,0.94,0.78,0.54,0.85,0.17,0.06,0.83,0.86,201.30
20201230,0.36,0.10,0.31,0.74,0.63,0.36,0.77,0.38,0.55,0.62,435.12
